experiment,model_type,rank,layer,conditioning,dataset,epochs,final_loss,min_loss,best_epoch,initial_loss,improvement_pct,epochs_to_0.1,epochs_to_0.05,epochs_to_0.03,epochs_to_0.02,total_params,trainable_params,param_efficiency
controlnet_rank4_mid_edge_svhn,controlnet,4,mid,edge,svhn,20,0.013637,0.013637,20,0.188319,92.76,2,3,4,6,4753987,4753987,100.0
controlnet_rank4_mid_inpainting_digit_percentage50_mnist,controlnet,4,mid,inpainting,mnist,20,0.013747,0.013747,20,0.296346,95.36,2,4,5,9,4752257,4752257,100.0
lora_rank4_mid_inpainting_random_rect50_svhn,lora,4,mid,inpainting,svhn,20,0.013771,0.013771,20,0.179125,92.31,2,2,4,6,3043427,3043427,100.0
lora_rank4_mid_edge_svhn,lora,4,mid,edge,svhn,20,0.015684,0.015329,19,0.209242,92.5,2,3,5,8,3042563,3042563,100.0
lora_rank4_mid_color_histogram_svhn,lora,4,mid,color_histogram,svhn,20,0.017233,0.016877,19,0.183292,90.6,2,3,4,9,7296515,7296515,100.0
lora_rank4_mid_inpainting_digit_top50_mnist,lora,4,mid,inpainting,mnist,20,0.020336,0.020336,20,0.313836,93.52,3,6,9,N/A,3040545,3040545,100.0
controlnet_rank4_mid_edge_mnist,controlnet,4,mid,edge,mnist,20,0.020918,0.020693,19,0.292531,92.85,2,5,8,N/A,4751681,4751681,100.0
lora_rank4_mid_inpainting_digit_percentage20_mnist,lora,4,mid,inpainting,mnist,20,0.021163,0.020922,17,0.234404,90.97,3,6,10,N/A,3040545,3040545,100.0
lora_rank4_mid_inpainting_digit_contiguous50_mnist,lora,4,mid,inpainting,mnist,20,0.021429,0.021291,18,0.280379,92.36,2,5,9,N/A,3040545,3040545,100.0
lora_rank4_mid_inpainting_digit_percentage60_mnist,lora,4,mid,inpainting,mnist,20,0.02155,0.02155,20,0.270909,92.05,2,5,8,N/A,3040545,3040545,100.0
lora_rank4_mid_inpainting_digit_percentage50_mnist,lora,4,mid,inpainting,mnist,20,0.021874,0.021874,20,0.285441,92.34,3,5,9,N/A,3040545,3040545,100.0
lora_rank4_mid_inpainting_digit_percentage80_mnist,lora,4,mid,inpainting,mnist,20,0.022217,0.021828,19,0.324203,93.15,3,5,9,N/A,3040545,3040545,100.0
lora_rank4_mid_inpainting_digit_percentage40_mnist,lora,4,mid,inpainting,mnist,20,0.022367,0.021911,18,0.298762,92.51,2,5,9,N/A,3040545,3040545,100.0
lora_rank4_mid_sobel_mnist,lora,4,mid,sobel,mnist,20,0.022568,0.022568,20,0.226118,90.02,2,4,9,N/A,3040257,3040257,100.0
lora_rank4_mid_inpainting_digit_bottom50_mnist,lora,4,mid,inpainting,mnist,20,0.023379,0.02308,18,0.284962,91.8,2,5,10,N/A,3040545,3040545,100.0
concat_rank4_mid_edge_mnist,concat,4,mid,edge,mnist,20,0.024133,0.023841,18,0.256217,90.58,2,4,10,N/A,2947137,2947137,100.0
lora_rank4_mid_skeleton_mnist,lora,4,mid,skeleton,mnist,20,0.024187,0.024187,20,0.295073,91.8,3,6,10,N/A,3040257,3040257,100.0
lora_rank2_early_edge_mnist,lora,2,early,edge,mnist,20,0.024241,0.024077,19,0.294679,91.77,3,5,10,N/A,3043649,3043649,100.0
lora_rank8_mid_edge_mnist,lora,8,mid,edge,mnist,20,0.024277,0.024189,18,0.252859,90.4,3,6,10,N/A,3041281,3041281,100.0
lora_rank4_all_edge_mnist,lora,4,all,edge,mnist,20,0.024592,0.024487,19,0.263218,90.66,3,5,11,N/A,3045953,3045953,100.0
lora_rank4_early_edge_mnist,lora,4,early,edge,mnist,20,0.02462,0.02418,19,0.247971,90.07,2,5,10,N/A,3043905,3043905,100.0
lora_rank4_mid_edge_mnist,lora,4,mid,edge,mnist,20,0.025023,0.025023,20,0.30331,91.75,2,5,12,N/A,3040257,3040257,100.0
lora_rank8_all_edge_mnist,lora,8,all,edge,mnist,20,0.02503,0.02503,20,0.300515,91.67,3,5,11,N/A,3048513,3048513,100.0
lora_rank2_all_edge_mnist,lora,2,all,edge,mnist,20,0.025603,0.025603,20,0.274789,90.68,2,5,11,N/A,3044673,3044673,100.0
lora_rank16_mid_edge_mnist,lora,16,mid,edge,mnist,20,0.025633,0.02543,17,0.254635,89.93,2,5,11,N/A,3043329,3043329,100.0
lora_rank1_mid_edge_mnist,lora,1,mid,edge,mnist,20,0.025668,0.025574,18,0.254481,89.91,3,7,11,N/A,3039489,3039489,100.0
lora_rank8_early_edge_mnist,lora,8,early,edge,mnist,20,0.026185,0.026167,19,0.235408,88.88,2,7,13,N/A,3044417,3044417,100.0
lora_rank2_mid_edge_mnist,lora,2,mid,edge,mnist,20,0.026594,0.026495,19,0.363478,92.68,3,7,12,N/A,3039745,3039745,100.0
lora_rank4_mid_inpainting_random_rect50_mnist,lora,4,mid,inpainting,mnist,20,0.026883,0.026883,20,0.27899,90.36,3,6,12,N/A,3040545,3040545,100.0
lora_rank4_mid_center_scale_mnist,lora,4,mid,center_scale,mnist,20,0.029295,0.029126,19,0.248957,88.23,2,5,15,N/A,3765249,3765249,100.0
lora_rank4_mid_stroke_thickness_mnist,lora,4,mid,stroke_thickness,mnist,20,0.029994,0.029364,18,0.262071,88.55,2,5,17,N/A,3765121,3765121,100.0
baseline_rank4_mid_edge_mnist,baseline,4,mid,edge,mnist,20,0.030251,0.030231,19,0.267204,88.68,3,7,N/A,N/A,2946561,2946561,100.0
