epoch,baseline_rank4_mid_edge_mnist,concat_rank4_mid_edge_mnist,controlnet_rank4_mid_edge_mnist,lora_rank16_mid_edge_mnist,lora_rank1_mid_edge_mnist,lora_rank2_all_edge_mnist,lora_rank2_early_edge_mnist,lora_rank2_mid_edge_mnist,lora_rank4_all_edge_mnist,lora_rank4_early_edge_mnist,lora_rank4_mid_edge_mnist,lora_rank4_mid_skeleton_mnist,lora_rank4_mid_sobel_mnist,lora_rank4_mid_stroke_thickness_mnist,lora_rank8_all_edge_mnist,lora_rank8_early_edge_mnist,lora_rank8_mid_edge_mnist
1,0.267204,0.256217,0.292531,0.254635,0.254481,0.274789,0.294679,0.363478,0.263218,0.247971,0.30331,0.295073,0.226118,0.262071,0.300515,0.235408,0.252859
2,0.11096,0.075656,0.098242,0.089156,0.101466,0.088655,0.109385,0.103164,0.111559,0.096184,0.099081,0.101906,0.080343,0.085347,0.103481,0.085651,0.105745
3,0.079342,0.055021,0.063493,0.064345,0.078029,0.06474,0.076631,0.080088,0.078479,0.069147,0.071992,0.072257,0.06104,0.061389,0.076888,0.070316,0.079474
4,0.065474,0.046394,0.051038,0.05367,0.066815,0.057331,0.057607,0.064223,0.057614,0.051446,0.054013,0.058913,0.047973,0.050537,0.061657,0.063023,0.065046
5,0.056465,0.041511,0.03868,0.046284,0.05701,0.046185,0.046824,0.05552,0.049133,0.044376,0.048535,0.053197,0.040334,0.045028,0.048689,0.055474,0.053632
6,0.050334,0.037695,0.033261,0.038381,0.05026,0.041175,0.041382,0.050839,0.041604,0.039513,0.042557,0.042719,0.036952,0.040567,0.042222,0.050293,0.046103
7,0.044207,0.033831,0.030364,0.035726,0.043841,0.037804,0.037842,0.046615,0.036395,0.034694,0.038821,0.036782,0.033041,0.039101,0.036881,0.046724,0.0376
8,0.039995,0.032387,0.027659,0.033342,0.038086,0.034693,0.032846,0.041228,0.03367,0.032516,0.036245,0.033271,0.030934,0.036931,0.033927,0.041248,0.034002
9,0.037273,0.030623,0.026288,0.031238,0.032613,0.032742,0.031008,0.038669,0.032182,0.03081,0.034204,0.030663,0.02881,0.03511,0.032698,0.037735,0.031794
10,0.035917,0.029781,0.025153,0.03024,0.030753,0.031219,0.029124,0.034472,0.030081,0.028958,0.031839,0.029553,0.027066,0.03349,0.030921,0.035835,0.029784
11,0.033921,0.028619,0.024097,0.028723,0.029265,0.029188,0.027514,0.031669,0.028848,0.027506,0.030014,0.027978,0.025884,0.03229,0.029278,0.032527,0.028253
12,0.033107,0.026873,0.023076,0.027956,0.028087,0.028453,0.026778,0.029808,0.027596,0.026477,0.028344,0.026825,0.024855,0.031611,0.027731,0.030096,0.02669
13,0.03189,0.025662,0.022462,0.02683,0.027653,0.027094,0.025694,0.028749,0.026859,0.026111,0.026902,0.026075,0.024249,0.030813,0.027369,0.029049,0.025834
14,0.031418,0.025229,0.021791,0.026322,0.026789,0.026836,0.025508,0.028058,0.025713,0.025635,0.026412,0.0251,0.023785,0.030818,0.026251,0.028119,0.025315
15,0.031127,0.024633,0.021388,0.026564,0.026123,0.026194,0.024938,0.027304,0.025524,0.02468,0.025885,0.025051,0.023481,0.030751,0.02566,0.02714,0.024703
16,0.030543,0.024117,0.021087,0.025782,0.026312,0.025686,0.024787,0.026839,0.025191,0.024871,0.02578,0.024779,0.022999,0.030036,0.025751,0.026946,0.024611
17,0.030502,0.024218,0.020821,0.02543,0.025849,0.025656,0.024435,0.026781,0.02495,0.024874,0.025279,0.024677,0.022628,0.029958,0.025591,0.026611,0.02437
18,0.030667,0.023841,0.020939,0.025914,0.025574,0.02605,0.024713,0.026741,0.024853,0.024554,0.02508,0.02448,0.022646,0.029364,0.025565,0.026272,0.024189
19,0.030231,0.024064,0.020693,0.025753,0.025588,0.025744,0.024077,0.026495,0.024487,0.02418,0.02517,0.0247,0.022944,0.029898,0.025437,0.026167,0.024351
20,0.030251,0.024133,0.020918,0.025633,0.025668,0.025603,0.024241,0.026594,0.024592,0.02462,0.025023,0.024187,0.022568,0.029994,0.02503,0.026185,0.024277
